Label	Primary_ID	Secondary_ID	Date
1	37973644	I1KY3	20181015
2	33985974	HKKJL	20181015
3	59763545	QPBEZ	20181015
4	15693198	BTL4W	20181015
5	52934753	NYK7K	20181015
6	54221182	NFN3H	20181015
7	83778487	18VIW	20181015
8	43953939	KWU7C	20181015
9	59355849	QGWLQ	20181015
10	25885725	E1LV1	20181015
11	66599733	T5NMW	20181015
12	89517753	4ABNG	20181015
13	35822658	H72E5	20181015
14	46413952	LSQHK	20181015
15	78811428	Y8CXS	20181015
16	71282546	UP7IJ	20181015
17	28641338	F1411	20181015
18	42939482	JJSL9	20181015
19	43173593	KMXG5	20181015
20	72894695	VF1FJ	20181015
21	58479797	Q4YEX	20181015
22	74566534	W8LAL	20181015
23	58665596	Q7KLK	20181015
24	77628748	XMFRV	20181015
25	48162313	LFSVI	20181015
26	25968523	E2Q6N	20181015
27	79461434	YG8N3	20181015
28	89494713	49Z7X	20181015
29	59535789	QJCNR	20181015
30	35636919	H5DN8	20181015
31	54551432	NLSN8	20181015
32	94239287	6E9IR	20181015
33	42318164	J86W6	20181015
34	96271296	7M5DJ	20181015
35	73358627	VMXPQ	20181015
36	91157267	4IZBK	20181015
37	26723994	EB4SW	20181015
38	67139239	TADX6	20181015
39	99115776	9J3H4	20181015
40	22713595	DW4IG	20181015
41	39798741	JQQA2	20181015
42	87955894	3F45D	20181015
43	79977266	YSLY1	20181015
44	84951495	1TEUW	20181015
45	64831237	SDJGR	20181015
46	54758876	PRS5J	20181015
47	81295878	Z1433	20181015
48	89656457	4CKMF	20181015
49	28857632	F46PZ	20181015
50	37931682	IZXC5	20181015
51	39791445	JQLZR	20181015
52	28223839	FUHTN	20181015
53	32167516	GWRGP	20181015
54	35425597	H2I23	20181015
55	63866381	S123E	20181015
56	33664128	GFCRV	20181015
57	21986768	DQVX2	20181015
58	31663221	GRFJX	20181015
59	64399549	S7ADV	20181015
60	29235537	F7V4N	20181015
61	52589431	NU3HW	20181015
62	68492155	UYLC3	20181015
63	96735997	71NR8	20181015
64	71812496	V18BX	20181015
65	51166827	M7R81	20181015
66	42955691	JJ3IP	20181015
67	51919392	MJFQT	20181015
68	51184421	M72HW	20181015
69	32847154	G6Y5V	20181015
70	73279618	VLNX5	20181015
71	47493923	L6Y5F	20181015
72	39594843	JN3RI	20181015
73	62432526	RB2C1	20181015
74	97286763	8ENJQ	20181015
75	69644729	UEZ9N	20181015
76	66581367	T5E54	20181015
77	87345675	36MPS	20181015
78	79775531	YNQN8	20181015
79	85524497	26U62	20181015
80	18496112	CT2UT	20181015
81	52291315	NQ9A6	20181015
82	64547193	S8684	20181015
83	93519835	5ZIN1	20181015
84	98521452	9BQUA	20181015
85	14263518	BCWWY	20181015
86	62816332	RIPFG	20181015
87	76367256	X4M7M	20181015
88	33214553	GAU3E	20181015
89	37469549	IUZBF	20181015
90	76376795	X4SCW	20181015
91	92497985	5D4BU	20181015
92	29122881	F6AQK	20181015
93	42977627	KLQMJ	20181015
94	51386224	MA669	20181015
95	92465739	5DJVV	20181015
96	45675827	KH8MU	20181015
97	56976578	PIWK7	20181015
98	22328699	DRFPU	20181015
99	13624849	A3WZS	20181015
100	79565283	YI895	20181015
101	39575629	JNTDN	20181015
102	45678161	KHBC2	20181015
103	14499233	BFTFJ	20181015
104	43313915	KNMCM	20181015
105	62322838	RADJ2	20181015
106	72517536	V9S1D	20181015
107	97575563	8JYIK	20181015
108	73836981	WYSXU	20181015
109	12182836	ALMX7	20181015
110	58463431	Q4NBT	20181015
111	85716729	29J5J	20181015
112	83391242	13AF2	20181015
113	17641734	CIHLK	20181015
114	32418325	GZT7R	20181015
115	97224687	8DIYA	20181015
116	14255337	BCTYX	20181015
117	93268981	5SY5G	20181015
118	75767298	WU26X	20181015
119	28369892	FWF7N	20181015
120	85971235	2DMZ7	20181015
121	46279238	LR3R8	20181015
122	45899691	LMHPX	20181015
123	53316732	N3GFN	20181015
124	63316144	STU7R	20181015
125	42577692	JCBNY	20181015
126	13499141	A2ALV	20181015
127	99532745	9TAJW	20181015
128	96514284	7T6Q9	20181015
129	59722172	QN6Z3	20181015
130	19353131	C3Y2D	20181015
131	32344748	GYV67	20181015
132	87581968	3ACXQ	20181015
133	76732211	X9SUL	20181015
134	55296445	PWC6W	20181015
135	62951138	RKH59	20181015
136	12527749	AQT6Y	20181015
137	53279711	N34G8	20181015
138	14593961	BGZXX	20181015
139	52551492	NTJVM	20181015
140	67176987	TAY8K	20181015
141	71577416	VX71V	20181015
142	18184298	CPZ6X	20181015
143	23781659	DAD6I	20181015
144	92614464	5FYZ6	20181015
145	21928243	DPZEQ	20181015
146	75956586	XZBSN	20181015
147	95895897	7HSFK	20181015
148	14664267	BHVBK	20181015
149	12762185	ATX7H	20181015
150	28251425	FVW2R	20181015
151	55988235	P4U6L	20181015
152	93982589	6CQE2	20181015
153	23425337	D4W69	20181015
154	25818921	EZKW4	20181015
155	65158851	SHMGZ	20181015
156	84134678	1CQFU	20181015
157	86292167	2HL1Y	20181015
158	81842611	Z8U89	20181015
159	12726235	ASDNU	20181015
160	73557823	VSVDX	20181015
161	83973631	1BTQ2	20181015
162	62128435	R7J6H	20181015
163	53857475	NBDTW	20181015
164	25253248	ESAKU	20181015
165	18345477	CRZRZ	20181015
166	25347842	ETGCK	20181015
167	13378839	AZJD4	20181015
168	74482272	W7E7G	20181015
169	78687524	Y6PVD	20181015
170	87396698	37H5S	20181015
171	49485476	MYY34	20181015
172	47854574	LBBJL	20181015
173	63464784	SUMZH	20181015
174	84776836	1P3JK	20181015
175	82318278	ZELV3	20181015
176	39485963	JMPR8	20181015
177	96536815	7U23E	20181015
178	68932929	U5FXU	20181015
179	52235321	NPGZE	20181015
180	65122145	SGT3Y	20181015
181	36514954	HHRBF	20181015
182	75164898	WGQ3U	20181015
183	93769916	69GL2	20181015
184	71693774	VYS3S	20181015
185	27211917	FIYUV	20181015
186	42267985	J8HHR	20181015
187	21988541	DQVV9	20181015
188	19778799	CAEV8	20181015
189	37268218	IREZ2	20181015
190	85829541	2BEJD	20181015
191	99353931	9P1S4	20181015
192	49476711	MYT2T	20181015
193	28492927	FY55V	20181015
194	96965738	8A26E	20181015
195	69545298	UDF5F	20181015
196	37278557	IRJ2P	20181015
197	21693112	DL255	20181015
198	64571313	S9IGX	20181015
199	21761154	DMVKZ	20181015
200	81865284	Z9BL8	20181015
201	43898158	KW63W	20181015
202	96426153	7RWES	20181015
203	92966721	5MZV5	20181015
204	84664858	1LKSV	20181015
205	38919724	IDVUX	20181015
206	89197272	45JXI	20181015
207	82822673	ZPQYG	20181015
208	65485994	SNHLV	20181015
209	16939481	BAGQF	20181015
210	48265226	LHP9P	20181015
211	41899354	J4RK5	20181015
212	77937834	XS89E	20181015
213	29748488	FF8CW	20181015
214	36762167	IL683	20181015
215	42831794	JHP3F	20181015
216	67319773	TC8FY	20181015
217	91372996	4NPQW	20181015
218	77251168	XGKTR	20181015
219	52124665	MMQS2	20181015
220	14143217	A92EP	20181015
221	62135779	R7NWZ	20181015
222	49616184	M1L6A	20181015
223	64626488	SADWY	20181015
224	95972358	7I3S9	20181015
225	34936171	HWB5T	20181015
226	69437844	UBLWL	20181015
